id,name,date_of_birth,height,weight,spike,block,link,position
1,Dallal Merwa Achour,03/11/1994,176,60,275,262,Players.asp?Tourn=WGP2013&Team=ALG&No=135595,Middle-blocker
2,Salima Hammouche,17/01/1984,158,54,270,265,Players.asp?Tourn=WGP2013&Team=ALG&No=120596,Libero
3,Fatma Zahra Djouad,12/07/1988,180,62,295,285,Players.asp?Tourn=WGP2013&Team=ALG&No=120602,Wing-spiker
4,Sara Belhocine,18/09/1994,178,60,272,260,Players.asp?Tourn=WGP2013&Team=ALG&No=146590,Unknown
5,Silya Magnana,16/03/1991,181,68,274,261,Players.asp?Tourn=WGP2013&Team=ALG&No=133380,Setter
6,Manel Yagoubi,25/06/1992,178,70,295,290,Players.asp?Tourn=WGP2013&Team=ALG&No=133397,Wing-spiker
7,Zohra Bensalem,05/04/1990,178,68,310,299,Players.asp?Tourn=WGP2013&Team=ALG&No=124111,Universal
8,Amina Saoud,18/07/1993,173,62,295,280,Players.asp?Tourn=WGP2013&Team=ALG&No=138025,0
9,Fatima Zahra Oukazi,18/01/1984,175,67,295,283,Players.asp?Tourn=WGP2013&Team=ALG&No=113937,Setter
10,Mouni Abderrahim,19/11/1985,171,60,305,293,Players.asp?Tourn=WGP2013&Team=ALG&No=112540,Universal
11,Safia Boukhima,10/01/1991,176,64,294,284,Players.asp?Tourn=WGP2013&Team=ALG&No=120603,Wing-spiker
12,Nawal Mansouri,01/08/1985,174,64,291,281,Players.asp?Tourn=WGP2013&Team=ALG&No=113942,Libero
13,Kahina Messaoudene,15/07/1992,183,56,299,290,Players.asp?Tourn=WGP2013&Team=ALG&No=133396,Middle-blocker
14,Aicha Mezemate,06/06/1991,187,75,300,285,Players.asp?Tourn=WGP2013&Team=ALG&No=124211,Middle-blocker
15,Sihem Saoud,18/07/1993,175,62,295,280,Players.asp?Tourn=WGP2013&Team=ALG&No=138026,Middle-blocker
16,Lydia Oulmou,02/02/1986,181,59,291,284,Players.asp?Tourn=WGP2013&Team=ALG&No=112531,Middle-blocker
17,Tassadit Aissou,19/06/1989,184,80,295,285,Players.asp?Tourn=WGP2013&Team=ALG&No=120601,Middle-blocker
18,Celia Bourihane,22/01/1995,178,56,277,255,Players.asp?Tourn=WGP2013&Team=ALG&No=133834,Universal
19,Kahina Arbouche,04/09/1993,175,60,295,280,Players.asp?Tourn=WGP2013&Team=ALG&No=143361,0
20,Yasmine Ousalah,04/07/1993,174,60,270,268,Players.asp?Tourn=WGP2013&Team=ALG&No=143375,Setter
21,Nawel Hammouche,25/04/1997,185,66,279,265,Players.asp?Tourn=WGP2013&Team=ALG&No=135763,0
22,Josefina Fernandez,17/08/1991,180,69,300,296,Players.asp?Tourn=WGP2013&Team=ARG&No=122488,0
23,Paula Yamila Nizetich,27/01/1989,181,74,305,295,Players.asp?Tourn=WGP2013&Team=ARG&No=122486,0
24,Sol Piccolo,11/09/1996,184,74,294,282,Players.asp?Tourn=WGP2013&Team=ARG&No=135935,0
25,Lucia Fresco,14/05/1991,195,92,304,290,Players.asp?Tourn=WGP2013&Team=ARG&No=124661,0
26,Daniela Gildenberger,12/06/1984,180,77,300,290,Players.asp?Tourn=WGP2013&Team=ARG&No=135503,0
27,Natalia Aispurua,20/12/1991,192,78,310,293,Players.asp?Tourn=WGP2013&Team=ARG&No=138013,0
28,Tanya Acosta,11/03/1991,182,70,287,280,Players.asp?Tourn=WGP2013&Team=ARG&No=140381,0
29,Viviana Dominko,03/10/1982,172,68,289,270,Players.asp?Tourn=WGP2013&Team=ARG&No=112338,0
30,Emilce Sosa,11/09/1987,177,72,305,295,Players.asp?Tourn=WGP2013&Team=ARG&No=124660,0
31,Georgina Pinedo,30/05/1981,180,64,312,290,Players.asp?Tourn=WGP2013&Team=ARG&No=113395,0
32,Tatiana Soledad Rizzo,30/12/1986,178,64,280,268,Players.asp?Tourn=WGP2013&Team=ARG&No=122484,0
33,Leticia Boscacci,08/11/1985,186,70,302,284,Players.asp?Tourn=WGP2013&Team=ARG&No=117250,0
34,Florencia Carlotto,14/10/1988,183,72,302,291,Players.asp?Tourn=WGP2013&Team=ARG&No=123034,0
35,Sherry Moreno,21/10/1989,185,77,303,295,Players.asp?Tourn=WGP2013&Team=ARG&No=142510,0
36,Florencia Natasha Busquets Reyes,27/06/1989,192,68,305,290,Players.asp?Tourn=WGP2013&Team=ARG&No=122490,0
37,Antonela Ayelen Curatola,23/10/1991,175,71,290,280,Players.asp?Tourn=WGP2013&Team=ARG&No=135505,0
38,Yael Castiglione,27/09/1985,184,75,295,281,Players.asp?Tourn=WGP2013&Team=ARG&No=112619,0
39,Elina Rodriguez,11/02/1997,189,72,300,284,Players.asp?Tourn=WGP2013&Team=ARG&No=135938,0
40,Mariangeles Cossar,07/04/1990,177,70,290,280,Players.asp?Tourn=WGP2013&Team=ARG&No=138016,0
41,Maria Sol Calvete,14/09/1994,179,65,295,283,Players.asp?Tourn=WGP2013&Team=ARG&No=135924,0
42,Eugenia Nosach,31/03/1993,175,66,290,277,Players.asp?Tourn=WGP2013&Team=ARG&No=143179,0
43,Juciely Cristina Barreto,18/12/1980,184,71,312,289,Players.asp?Tourn=WGP2013&Team=BRA&No=132589,0
44,Danielle Lins,05/01/1985,181,68,290,276,Players.asp?Tourn=WGP2013&Team=BRA&No=112625,0
45,Ellen Braga,12/06/1991,178,65,288,284,Players.asp?Tourn=WGP2013&Team=BRA&No=134625,0
46,Adenizia Da Silva,18/12/1986,185,63,312,290,Players.asp?Tourn=WGP2013&Team=BRA&No=113955,0
47,Thaisa Daher de Menezes,15/05/1987,196,79,316,301,Players.asp?Tourn=WGP2013&Team=BRA&No=113963,0
48,Priscila Daroit,10/08/1988,182,74,290,280,Players.asp?Tourn=WGP2013&Team=BRA&No=115970,0
49,Claudia Bueno da Silva,21/09/1987,181,80,290,266,Players.asp?Tourn=WGP2013&Team=BRA&No=138832,0
50,Michelle Pavão,31/10/1986,178,62,295,283,Players.asp?Tourn=WGP2013&Team=BRA&No=115522,0
51,Gabriela Braga Guimaraes,19/05/1994,180,65,305,289,Players.asp?Tourn=WGP2013&Team=BRA&No=136896,0
52,Tandara Caixeta,30/10/1988,184,87,305,297,Players.asp?Tourn=WGP2013&Team=BRA&No=115958,0
53,Natalia Pereira,04/04/1989,186,83,311,295,Players.asp?Tourn=WGP2013&Team=BRA&No=115952,0
54,Sheilla Castro De Paula Blassioli,01/07/1983,185,64,302,284,Players.asp?Tourn=WGP2013&Team=BRA&No=112366,0
55,Fabiana Oliveira,07/03/1980,169,59,276,266,Players.asp?Tourn=WGP2013&Team=BRA&No=113162,0
56,Monique Marinho Pavao,31/10/1986,178,67,294,285,Players.asp?Tourn=WGP2013&Team=BRA&No=141870,0
57,Fernanda Rodrigues,10/05/1986,179,74,308,288,Players.asp?Tourn=WGP2013&Team=BRA&No=112641,0
58,Josefa Fabiola Almeida De Sousa Alves,03/02/1983,184,70,300,285,Players.asp?Tourn=WGP2013&Team=BRA&No=119147,0
59,Camila Brait,28/10/1988,170,58,271,256,Players.asp?Tourn=WGP2013&Team=BRA&No=119241,0
60,Leticia Magnani Hage,09/09/1990,187,83,301,288,Players.asp?Tourn=WGP2013&Team=BRA&No=124053,0
61,Ana Beatriz Correa,07/02/1992,187,70,298,292,Players.asp?Tourn=WGP2013&Team=BRA&No=119566,0
62,Ivna Marra,25/01/1990,185,76,305,294,Players.asp?Tourn=WGP2013&Team=BRA&No=119546,0
63,Suelen Pinto,04/10/1987,166,81,256,238,Players.asp?Tourn=WGP2013&Team=BRA&No=115518,0
64,Desislava Nikolova,21/12/1991,184,65,290,285,Players.asp?Tourn=WGP2013&Team=BUL&No=122631,0
65,Kremena Kamenova,21/05/1988,185,64,304,299,Players.asp?Tourn=WGP2013&Team=BUL&No=124574,0
66,Lora Kitipova,19/05/1991,184,66,290,283,Players.asp?Tourn=WGP2013&Team=BUL&No=138283,0
67,Dobriana Rabadzhieva,14/06/1991,190,77,305,285,Players.asp?Tourn=WGP2013&Team=BUL&No=122542,0
68,Tsvetelina Zarkova,18/12/1986,187,69,298,289,Players.asp?Tourn=WGP2013&Team=BUL&No=122458,0
69,Gabriela Koeva,25/07/1989,187,72,306,298,Players.asp?Tourn=WGP2013&Team=BUL&No=122459,0
70,Simona Dimitrova,17/07/1994,185,82,290,280,Players.asp?Tourn=WGP2013&Team=BUL&No=142345,0
71,Petya Barakova,18/06/1994,180,76,283,271,Players.asp?Tourn=WGP2013&Team=BUL&No=142348,0
72,Gergana Dimitrova,28/02/1996,184,71,305,288,Players.asp?Tourn=WGP2013&Team=BUL&No=142341,0
73,Hristina Ruseva,01/10/1991,190,77,305,290,Players.asp?Tourn=WGP2013&Team=BUL&No=124201,0
74,Mariya Karakasheva,27/10/1988,182,68,295,290,Players.asp?Tourn=WGP2013&Team=BUL&No=122461,0
75,Mariya Filipova,10/09/1982,178,68,295,275,Players.asp?Tourn=WGP2013&Team=BUL&No=113555,0
76,Slavina Koleva,22/11/1986,184,57,302,297,Players.asp?Tourn=WGP2013&Team=BUL&No=143366,0
77,Silvana Chausheva,19/05/1995,188,75,305,290,Players.asp?Tourn=WGP2013&Team=BUL&No=142333,0
78,Elitsa Vasileva,13/05/1990,190,73,302,290,Players.asp?Tourn=WGP2013&Team=BUL&No=122541,0
79,Strashimira Strashimirova Simeonova,18/08/1985,195,78,307,300,Players.asp?Tourn=WGP2013&Team=BUL&No=122462,0
80,Emiliya Dimitrova,26/12/1991,185,59,302,287,Players.asp?Tourn=WGP2013&Team=BUL&No=134954,0
81,Mira Todorova,12/04/1994,187,73,312,300,Players.asp?Tourn=WGP2013&Team=BUL&No=142337,0
82,Zhana Todorova,06/01/1997,170,56,271,255,Players.asp?Tourn=WGP2013&Team=BUL&No=142351,0
83,Ting Zhu,29/11/1994,198,78,327,300,Players.asp?Tourn=WGP2013&Team=CHN&No=133588,0
84,Yang Mi,24/01/1989,180,70,305,298,Players.asp?Tourn=WGP2013&Team=CHN&No=119296,0
85,Na Wang,25/02/1990,178,63,305,295,Players.asp?Tourn=WGP2013&Team=CHN&No=124133,0
86,Jingsi Shen,03/05/1989,186,75,305,294,Players.asp?Tourn=WGP2013&Team=CHN&No=116422,0
87,Junjing Yang,15/05/1989,190,70,308,300,Players.asp?Tourn=WGP2013&Team=CHN&No=118690,0
88,Xian Zhang,16/03/1985,168,57,290,280,Players.asp?Tourn=WGP2013&Team=CHN&No=118621,0
89,Chunlei Zeng,03/11/1989,187,67,315,315,Players.asp?Tourn=WGP2013&Team=CHN&No=114974,0
90,Yimei Wang,11/01/1988,190,87,318,305,Players.asp?Tourn=WGP2013&Team=CHN&No=114285,0
91,Danna Shan,08/10/1991,168,60,290,285,Players.asp?Tourn=WGP2013&Team=CHN&No=124138,0
92,Yunli Xu,02/08/1987,195,85,325,306,Players.asp?Tourn=WGP2013&Team=CHN&No=118027,0
93,Ruoqi Hui,04/03/1991,192,78,315,305,Players.asp?Tourn=WGP2013&Team=CHN&No=118694,0
94,Yanhan Liu,19/01/1993,188,75,315,305,Players.asp?Tourn=WGP2013&Team=CHN&No=133141,0
95,Jie Yang,01/03/1994,194,82,312,300,Players.asp?Tourn=WGP2013&Team=CHN&No=119302,0
96,Xiaotong Liu,16/02/1990,188,80,312,300,Players.asp?Tourn=WGP2013&Team=CHN&No=124132,0
97,Lei Zhang,11/01/1985,181,71,316,310,Players.asp?Tourn=WGP2013&Team=CHN&No=132057,0
98,Di Yao,15/08/1992,182,65,306,298,Players.asp?Tourn=WGP2013&Team=CHN&No=123841,0
99,Ting Qiao,02/03/1992,189,66,315,315,Players.asp?Tourn=WGP2013&Team=CHN&No=143364,0
100,Congcong Liu,08/12/1990,189,65,310,302,Players.asp?Tourn=WGP2013&Team=CHN&No=119304,0
101,Zhan Chen,11/10/1990,180,65,300,295,Players.asp?Tourn=WGP2013&Team=CHN&No=116419,0
102,Yunwen Ma,19/10/1986,190,76,315,307,Players.asp?Tourn=WGP2013&Team=CHN&No=114518,0
103,Dan Liu,29/08/1989,180,65,305,295,Players.asp?Tourn=WGP2013&Team=CHN&No=143365,0
104,Lilianny Marsillan Aguero,05/10/1991,181,65,300,295,Players.asp?Tourn=WGP2013&Team=CUB&No=124090,0
105,Alena Rojas Orta,09/08/1992,186,76,320,305,Players.asp?Tourn=WGP2013&Team=CUB&No=138784,0
106,Yoana Palacio Mendoza,06/10/1990,184,67,313,300,Players.asp?Tourn=WGP2013&Team=CUB&No=143357,0
107,Heidy Casanova Alvarez,06/11/1998,184,78,244,240,Players.asp?Tourn=WGP2013&Team=CUB&No=143340,0
108,Daymara Lescay Cajigal,05/09/1992,184,72,308,290,Players.asp?Tourn=WGP2013&Team=CUB&No=154412,0
109,Claudia Hernandez Aguila,09/01/1997,181,78,225,223,Players.asp?Tourn=WGP2013&Team=CUB&No=140012,0
110,Emily Borrell Cruz,19/02/1992,167,55,270,260,Players.asp?Tourn=WGP2013&Team=CUB&No=124091,0
111,Dayessi Luis Ruiz,23/10/1996,170,60,288,248,Players.asp?Tourn=WGP2013&Team=CUB&No=143341,0
112,Ana Yilian Cleger Abel,27/11/1989,183,69,300,285,Players.asp?Tourn=WGP2013&Team=CUB&No=143342,0
113,Gretell Elena Moreno Borrero,30/01/1998,183,68,287,280,Players.asp?Tourn=WGP2013&Team=CUB&No=143404,0
114,Dairilys Margarita Cruz Perez,12/09/1990,183,65,310,305,Players.asp?Tourn=WGP2013&Team=CUB&No=143343,0
115,Rosanna Giel Ramos,10/06/1992,187,62,320,315,Players.asp?Tourn=WGP2013&Team=CUB&No=124087,0
116,Dayami Sanchez Savon,14/03/1994,188,64,314,302,Players.asp?Tourn=WGP2013&Team=CUB&No=133942,0
117,Beatriz Vilches Santana,29/01/1995,182,68,288,277,Players.asp?Tourn=WGP2013&Team=CUB&No=143369,0
118,Anet Alfonso Benitez,26/06/1996,172,54,225,222,Players.asp?Tourn=WGP2013&Team=CUB&No=140009,0
119,Yelennis Diaz Cairo,14/10/1995,189,71,300,298,Players.asp?Tourn=WGP2013&Team=CUB&No=143345,0
120,Sulian Caridad Matienzo Linares,14/12/1994,178,75,232,230,Players.asp?Tourn=WGP2013&Team=CUB&No=140017,0
121,Jennifer Yanet Alvarez Hernandez,19/11/1993,184,72,310,294,Players.asp?Tourn=WGP2013&Team=CUB&No=124163,0
122,Heidy Margarita Rodriguez Lopez,24/06/1993,187,66,312,308,Players.asp?Tourn=WGP2013&Team=CUB&No=143347,0
123,Eva Hodanova,18/12/1993,189,75,306,298,Players.asp?Tourn=WGP2013&Team=CZE&No=143418,0
124,Kristyna Boulova,22/10/1985,197,84,315,302,Players.asp?Tourn=WGP2013&Team=CZE&No=112667,0
125,Aneta Kocmanova Havlickova,03/07/1987,190,96,316,300,Players.asp?Tourn=WGP2013&Team=CZE&No=115550,0
126,Julie Kovarova,14/09/1987,179,62,295,280,Players.asp?Tourn=WGP2013&Team=CZE&No=122390,0
127,Lucie Smutna,14/04/1991,180,75,307,285,Players.asp?Tourn=WGP2013&Team=CZE&No=124235,0
128,Sarka Kubinova,19/04/1988,178,63,303,292,Players.asp?Tourn=WGP2013&Team=CZE&No=122389,0
129,Tereza Rossi,03/12/1982,191,81,310,285,Players.asp?Tourn=WGP2013&Team=CZE&No=113430,0
130,Michaela Monzoni,18/04/1984,193,75,310,303,Players.asp?Tourn=WGP2013&Team=CZE&No=115554,0
131,Petra Kojdova,23/09/1993,183,68,304,298,Players.asp?Tourn=WGP2013&Team=CZE&No=143419,0
132,Veronika Dostalova,07/04/1992,170,66,278,269,Players.asp?Tourn=WGP2013&Team=CZE&No=143420,0
133,Karolína Bednárová,20/07/1986,183,67,304,285,Players.asp?Tourn=WGP2013&Team=CZE&No=120584,0
134,Tereza Vanzurova,04/04/1991,186,83,300,269,Players.asp?Tourn=WGP2013&Team=CZE&No=124228,0
135,Lucie Muhlsteinova,15/10/1984,180,72,296,285,Players.asp?Tourn=WGP2013&Team=CZE&No=112665,0
136,Ivona Svobodnikova,01/04/1991,190,77,300,290,Players.asp?Tourn=WGP2013&Team=CZE&No=124227,0
137,Helena Havelkova,25/07/1988,186,70,320,300,Players.asp?Tourn=WGP2013&Team=CZE&No=122391,0
138,Ivana Plchotova,28/10/1982,192,76,310,290,Players.asp?Tourn=WGP2013&Team=CZE&No=112450,0
139,Pavla Smidova,12/11/1992,180,68,297,290,Players.asp?Tourn=WGP2013&Team=CZE&No=124230,0
140,Nikol Sajdova,20/07/1988,185,79,298,295,Players.asp?Tourn=WGP2013&Team=CZE&No=137586,0
141,Lucie Herbockova,02/01/1994,183,67,299,290,Players.asp?Tourn=WGP2013&Team=CZE&No=142292,0
142,Michaela Mlejnkova,26/07/1996,185,75,305,298,Players.asp?Tourn=WGP2013&Team=CZE&No=142297,0
143,Winifer Maria Fernandez Perez,06/01/1995,169,62,270,265,Players.asp?Tourn=WGP2013&Team=DOM&No=131956,0
144,Lisvel Elisa Eve Mejia,10/09/1991,194,90,325,315,Players.asp?Tourn=WGP2013&Team=DOM&No=119591,0
145,Marianne Fersola Norberto,16/01/1992,191,60,315,310,Players.asp?Tourn=WGP2013&Team=DOM&No=119544,0
146,Brenda Castillo,05/06/1992,167,55,245,230,Players.asp?Tourn=WGP2013&Team=DOM&No=119039,0
147,Marifranchi Rodriguez,29/08/1990,184,68,310,300,Players.asp?Tourn=WGP2013&Team=DOM&No=115386,0
148,Niverka Dharlenis Marte Frica,19/10/1990,178,71,295,283,Players.asp?Tourn=WGP2013&Team=DOM&No=119585,0
149,Candida Estefany Arias Perez,11/03/1992,194,68,320,315,Players.asp?Tourn=WGP2013&Team=DOM&No=119224,0
150,Sidarka De Los Milagros Nuñez,25/06/1984,185,62,330,320,Players.asp?Tourn=WGP2013&Team=DOM&No=114679,0
151,Pamela Marie Soriano Olivo,30/06/1995,175,64,290,287,Players.asp?Tourn=WGP2013&Team=DOM&No=131958,0
152,Jeoselyna Rodriguez Santos,09/12/1991,187,63,325,315,Players.asp?Tourn=WGP2013&Team=DOM&No=119587,0
153,Karla Miguelina Echenique Medina,16/05/1986,180,65,300,290,Players.asp?Tourn=WGP2013&Team=DOM&No=112464,0
154,Jineiry Martinez,03/12/1997,190,68,305,280,Players.asp?Tourn=WGP2013&Team=DOM&No=139910,0
155,Prisilla Rivera Brens,29/12/1984,183,67,309,305,Players.asp?Tourn=WGP2013&Team=DOM&No=112468,0
156,Celenia Toribio De Leon,17/07/1994,181,69,290,286,Players.asp?Tourn=WGP2013&Team=DOM&No=131957,0
157,Yonkaira Paola Peña Isabel,10/05/1993,190,70,320,310,Players.asp?Tourn=WGP2013&Team=DOM&No=123978,0
158,Gina Altagracia Mambru Casilla,21/01/1986,182,65,330,315,Players.asp?Tourn=WGP2013&Team=DOM&No=115391,0
159,Bethania De La Cruz De Peña,13/05/1987,188,70,330,320,Players.asp?Tourn=WGP2013&Team=DOM&No=114294,0
160,Ana Yorkira Binet Stephens,09/02/1992,174,58,280,260,Players.asp?Tourn=WGP2013&Team=DOM&No=119229,0
161,Brayelin Elizabeth Martinez,11/09/1996,201,83,330,320,Players.asp?Tourn=WGP2013&Team=DOM&No=123982,0
162,Erasma Moreno Martinez,25/11/1991,183,75,304,289,Players.asp?Tourn=WGP2013&Team=DOM&No=124158,0
163,Gaila Ceneida Gonzalez Lopez,25/06/1997,188,73,304,276,Players.asp?Tourn=WGP2013&Team=DOM&No=139927,0
164,Kathleen WeiÃŸ,02/02/1984,173,64,290,273,Players.asp?Tourn=WGP2013&Team=GER&No=113902,0
165,Denise Hanke,31/08/1989,183,73,297,284,Players.asp?Tourn=WGP2013&Team=GER&No=119105,0
166,Maren Fromm,10/07/1986,184,68,303,295,Players.asp?Tourn=WGP2013&Team=GER&No=120333,0
167,Anja Brandt,15/02/1990,195,77,310,295,Players.asp?Tourn=WGP2013&Team=GER&No=119318,0
168,Kathy Radzuweit,02/03/1982,196,76,319,300,Players.asp?Tourn=WGP2013&Team=GER&No=112051,0
169,Jana Franziska Poll,07/05/1988,185,69,310,290,Players.asp?Tourn=WGP2013&Team=GER&No=141676,0
170,Berit Kauffeldt,08/07/1990,190,75,311,294,Players.asp?Tourn=WGP2013&Team=GER&No=118959,0
171,Corina Ssuschke-Voigt,09/05/1983,189,75,310,298,Players.asp?Tourn=WGP2013&Team=GER&No=112479,0
172,Anne Matthes,30/04/1985,182,66,312,295,Players.asp?Tourn=WGP2013&Team=GER&No=120334,0
173,Christiane FÃ¼rst,29/03/1985,193,80,323,307,Players.asp?Tourn=WGP2013&Team=GER&No=112473,0
174,Heike Beier,09/12/1983,184,73,305,293,Players.asp?Tourn=WGP2013&Team=GER&No=112477,0
175,Saskia Hippe,16/01/1991,185,67,315,292,Players.asp?Tourn=WGP2013&Team=GER&No=118954,0
176,Margareta Kozuch,30/10/1986,187,70,309,297,Players.asp?Tourn=WGP2013&Team=GER&No=116179,0
177,Lisa Thomsen,20/08/1985,172,68,290,285,Players.asp?Tourn=WGP2013&Team=GER&No=123175,0
178,Lena MÃ¶llers,06/01/1990,188,74,312,297,Players.asp?Tourn=WGP2013&Team=GER&No=118946,0
179,Carina Aulenbrock,22/09/1994,0,0,310,291,Players.asp?Tourn=WGP2013&Team=GER&No=143759,0
180,Regina Burchardt,01/07/1983,186,77,302,294,Players.asp?Tourn=WGP2013&Team=GER&No=112480,0
181,Svenja Engelhardt,20/04/1988,182,71,304,288,Players.asp?Tourn=WGP2013&Team=GER&No=118275,0
182,Mareen Von RÃ¶mer,26/03/1987,183,73,295,284,Players.asp?Tourn=WGP2013&Team=GER&No=114525,0
183,Jennifer Geerties,05/04/1994,184,58,298,288,Players.asp?Tourn=WGP2013&Team=GER&No=123911,0
184,Lisa Izquierdo,29/08/1994,178,73,309,294,Players.asp?Tourn=WGP2013&Team=GER&No=136676,0
185,Cristina Barcellini,20/11/1986,183,78,307,292,Players.asp?Tourn=WGP2013&Team=ITA&No=124171,0
186,Immacolata Sirressi,19/05/1990,175,62,290,220,Players.asp?Tourn=WGP2013&Team=ITA&No=118763,0
187,Letizia Camera,01/10/1992,175,62,285,270,Players.asp?Tourn=WGP2013&Team=ITA&No=123738,0
188,Enrica Merlo,28/12/1988,170,60,281,262,Players.asp?Tourn=WGP2013&Team=ITA&No=119188,0
189,Monica De Gennaro,08/01/1987,174,67,292,217,Players.asp?Tourn=WGP2013&Team=ITA&No=115478,0
190,Martina Guiggi,01/05/1984,187,80,317,240,Players.asp?Tourn=WGP2013&Team=ITA&No=112516,0
191,Noemi Signorile,15/02/1990,183,72,294,290,Players.asp?Tourn=WGP2013&Team=ITA&No=132039,0
192,Caterina Bosetti,02/02/1994,179,59,299,281,Players.asp?Tourn=WGP2013&Team=ITA&No=123744,0
193,Cristina Chirichella,10/02/1994,194,79,322,306,Players.asp?Tourn=WGP2013&Team=ITA&No=136690,0
194,Chiara Di Iulio,05/05/1985,184,65,291,278,Players.asp?Tourn=WGP2013&Team=ITA&No=112734,0
