id,name,date_of_birth,height,weight,spike,block,link,position
195,Valentina Zago,21/02/1990,186,77,305,284,Players.asp?Tourn=WGP2013&Team=ITA&No=118768,0
196,Valentina Arrighetti,26/01/1985,185,72,318,310,Players.asp?Tourn=WGP2013&Team=ITA&No=112728,0
197,Valeria Caracuta,14/12/1987,173,65,285,274,Players.asp?Tourn=WGP2013&Team=ITA&No=141714,0
198,Floriana Bertone,19/11/1992,202,80,316,300,Players.asp?Tourn=WGP2013&Team=ITA&No=123737,0
199,Lucia Bosetti,09/07/1989,178,63,310,292,Players.asp?Tourn=WGP2013&Team=ITA&No=115816,0
200,Valentina Diouf,10/01/1993,202,94,330,261,Players.asp?Tourn=WGP2013&Team=ITA&No=123746,0
201,Carolina Del Pilar Costagrande,15/10/1980,187,90,320,310,Players.asp?Tourn=WGP2013&Team=ITA&No=133728,0
202,Raphaela Folie,07/03/1991,187,73,324,300,Players.asp?Tourn=WGP2013&Team=ITA&No=135582,0
203,Alessia Gennari,03/11/1991,184,68,305,238,Players.asp?Tourn=WGP2013&Team=ITA&No=118764,0
204,Valentina Fiorin,09/10/1984,184,82,320,310,Players.asp?Tourn=WGP2013&Team=ITA&No=138093,0
205,Valentina Tirozzi,26/03/1986,181,69,304,292,Players.asp?Tourn=WGP2013&Team=ITA&No=115476,0
206,Arisa Sato,18/07/1989,166,53,275,266,Players.asp?Tourn=WGP2013&Team=JPN&No=143379,0
207,Saori Kimura,19/08/1986,185,65,304,293,Players.asp?Tourn=WGP2013&Team=JPN&No=114038,0
208,Kanako Hirai,15/04/1984,183,69,309,290,Players.asp?Tourn=WGP2013&Team=JPN&No=138789,0
209,Naoko Hashimoto,11/07/1984,172,68,288,268,Players.asp?Tourn=WGP2013&Team=JPN&No=143380,0
210,Haruka Miyashita,01/09/1994,177,61,298,272,Players.asp?Tourn=WGP2013&Team=JPN&No=132100,0
211,Mami Yoshida,05/06/1986,158,57,272,260,Players.asp?Tourn=WGP2013&Team=JPN&No=141954,0
212,Kotoki Zayasu,11/01/1990,159,57,270,255,Players.asp?Tourn=WGP2013&Team=JPN&No=135413,0
213,Mizuho Ishida,22/01/1988,174,65,301,286,Players.asp?Tourn=WGP2013&Team=JPN&No=119191,0
214,Nana Iwasaka,03/07/1990,187,76,298,293,Players.asp?Tourn=WGP2013&Team=JPN&No=135410,0
215,Makoto Matsuura,09/09/1986,173,69,282,265,Players.asp?Tourn=WGP2013&Team=JPN&No=135409,0
216,Yuki Ishii,08/05/1991,180,67,305,287,Players.asp?Tourn=WGP2013&Team=JPN&No=135416,0
217,Risa Shinnabe,11/07/1990,175,64,293,285,Players.asp?Tourn=WGP2013&Team=JPN&No=135411,0
218,Yukiko Ebata,07/11/1989,176,67,305,298,Players.asp?Tourn=WGP2013&Team=JPN&No=132056,0
219,Haruyo Shimamura,04/03/1992,182,78,297,290,Players.asp?Tourn=WGP2013&Team=JPN&No=141953,0
220,Saori Sakoda,18/12/1987,175,63,305,279,Players.asp?Tourn=WGP2013&Team=JPN&No=132053,0
221,Akari Oumi,10/11/1989,171,64,297,276,Players.asp?Tourn=WGP2013&Team=JPN&No=141955,0
222,Saori Takahashi,09/12/1992,177,66,307,290,Players.asp?Tourn=WGP2013&Team=JPN&No=142154,0
223,Riho Otake,23/12/1993,182,68,306,296,Players.asp?Tourn=WGP2013&Team=JPN&No=133107,0
224,Aimi Kawashima,15/04/1990,182,67,298,285,Players.asp?Tourn=WGP2013&Team=JPN&No=143378,0
225,Kanami Tashiro,25/03/1991,173,68,289,273,Players.asp?Tourn=WGP2013&Team=JPN&No=143376,0
226,Fumika Moriya,07/04/1992,180,75,302,285,Players.asp?Tourn=WGP2013&Team=JPN&No=135454,0
227,Lyudmila Issayeva,26/09/1989,184,70,295,280,Players.asp?Tourn=WGP2013&Team=KAZ&No=143351,0
228,Sana Anarkulova,21/07/1989,188,77,300,280,Players.asp?Tourn=WGP2013&Team=KAZ&No=120296,0
229,Lyudmila Anarbayeva,12/11/1983,192,72,305,299,Players.asp?Tourn=WGP2013&Team=KAZ&No=115914,0
230,Olga Danchenko,28/12/1982,190,75,305,295,Players.asp?Tourn=WGP2013&Team=KAZ&No=115906,0
231,Natalya Akilova,31/05/1993,183,62,295,275,Players.asp?Tourn=WGP2013&Team=KAZ&No=133093,0
232,Alena Ivanova,19/06/1989,195,78,310,300,Players.asp?Tourn=WGP2013&Team=KAZ&No=123607,0
233,Korinna Ishimtseva,08/02/1984,187,69,300,290,Players.asp?Tourn=WGP2013&Team=KAZ&No=115908,0
234,Irina Lukomskaya,19/03/1991,176,66,280,270,Players.asp?Tourn=WGP2013&Team=KAZ&No=133662,0
235,Irina Kenzhebaeva,20/02/1992,180,73,290,280,Players.asp?Tourn=WGP2013&Team=KAZ&No=133089,0
236,Marina Storozhenko,06/06/1985,175,57,290,280,Players.asp?Tourn=WGP2013&Team=KAZ&No=123710,0
237,Yekaterina Zhdanova,28/05/1992,183,65,280,270,Players.asp?Tourn=WGP2013&Team=KAZ&No=133090,0
238,Yana Yagodina,24/01/1993,182,69,300,285,Players.asp?Tourn=WGP2013&Team=KAZ&No=133491,0
239,Alessya Safronova,10/02/1986,192,70,290,280,Players.asp?Tourn=WGP2013&Team=KAZ&No=123555,0
240,Anastassiya Rostovchshikova,17/04/1994,180,64,280,260,Players.asp?Tourn=WGP2013&Team=KAZ&No=143390,0
241,Inna Matveyeva,12/10/1978,186,70,303,294,Players.asp?Tourn=WGP2013&Team=KAZ&No=115915,0
242,Yekaterina Razorenkova,03/06/1993,185,69,283,280,Players.asp?Tourn=WGP2013&Team=KAZ&No=135476,0
243,Yelena Gordeyeva,23/11/1988,178,72,280,275,Players.asp?Tourn=WGP2013&Team=KAZ&No=125461,0
244,Zarina Sitkazinova,20/03/1993,182,70,295,280,Players.asp?Tourn=WGP2013&Team=KAZ&No=133092,0
245,Tatyana Fendrikova,23/02/1990,169,55,280,275,Players.asp?Tourn=WGP2013&Team=KAZ&No=143348,0
246,Femke Stoltenborg,30/07/1991,189,81,303,299,Players.asp?Tourn=WGP2013&Team=NED&No=124076,0
247,Yvon Belien,28/12/1993,188,73,307,303,Players.asp?Tourn=WGP2013&Team=NED&No=141273,0
248,Celeste Plak,26/10/1995,190,87,314,302,Players.asp?Tourn=WGP2013&Team=NED&No=142880,0
249,Robin De Kruijf,05/05/1991,192,81,313,300,Players.asp?Tourn=WGP2013&Team=NED&No=120504,0
250,Maret Balkestein-Grothues,16/09/1988,180,68,304,285,Players.asp?Tourn=WGP2013&Team=NED&No=120501,0
251,Quinta Steenbergen,02/04/1985,189,75,309,300,Players.asp?Tourn=WGP2013&Team=NED&No=120500,0
252,Judith Pietersen,03/07/1989,188,73,306,296,Players.asp?Tourn=WGP2013&Team=NED&No=119044,0
253,Myrthe Schoot,29/08/1988,182,70,298,286,Players.asp?Tourn=WGP2013&Team=NED&No=123468,0
254,Lonneke SlÃ¶etjes,15/11/1990,191,76,322,315,Players.asp?Tourn=WGP2013&Team=NED&No=120498,0
255,Anne Buijs,02/12/1991,191,73,317,299,Players.asp?Tourn=WGP2013&Team=NED&No=120503,0
256,Manon Nummerdor-Flier,08/02/1984,192,71,315,301,Players.asp?Tourn=WGP2013&Team=NED&No=113642,0
257,Flore Gravesteijn,26/04/1987,189,68,303,291,Players.asp?Tourn=WGP2013&Team=NED&No=123469,0
258,Laura Dijkema,18/02/1990,184,70,293,279,Players.asp?Tourn=WGP2013&Team=NED&No=124070,0
259,Kim Renkema,28/06/1987,179,67,295,282,Players.asp?Tourn=WGP2013&Team=NED&No=116959,0
260,Moniek Jansen,26/08/1992,192,86,298,285,Players.asp?Tourn=WGP2013&Team=NED&No=142881,0
261,Lynn Thijssen,22/08/1992,187,73,298,284,Players.asp?Tourn=WGP2013&Team=NED&No=124082,0
262,Kirsten Knip,14/09/1992,175,70,281,275,Players.asp?Tourn=WGP2013&Team=NED&No=124071,0
263,Quirine Oosterveld,05/03/1990,181,70,296,288,Players.asp?Tourn=WGP2013&Team=NED&No=124073,0
264,Esther Van Berkel,31/08/1990,176,68,301,287,Players.asp?Tourn=WGP2013&Team=NED&No=124066,0
265,Inge Molendijk,09/12/1992,186,76,287,284,Players.asp?Tourn=WGP2013&Team=NED&No=142896,0
266,Klaske Sikkes,07/04/1993,188,74,299,286,Players.asp?Tourn=WGP2013&Team=NED&No=143212,0
267,Maja Tokarska,22/02/1991,194,79,317,293,Players.asp?Tourn=WGP2013&Team=POL&No=123927,0
268,Karolina Rozycka,28/06/1985,183,68,305,284,Players.asp?Tourn=WGP2013&Team=POL&No=132060,0
269,Izabela Belcik,29/11/1980,185,65,304,292,Players.asp?Tourn=WGP2013&Team=POL&No=113513,0
270,Patrycja Polak,23/02/1991,183,62,301,279,Players.asp?Tourn=WGP2013&Team=POL&No=123926,0
271,Aleksandra Wojcik,03/01/1994,184,76,297,279,Players.asp?Tourn=WGP2013&Team=POL&No=136313,0
272,Joanna Kaczor,16/09/1984,191,64,305,290,Players.asp?Tourn=WGP2013&Team=POL&No=112557,0
273,Zuzanna Efimienko-Mlotkowska,08/08/1989,197,72,318,303,Players.asp?Tourn=WGP2013&Team=POL&No=119138,0
274,Ewelina Brzezinska,26/01/1988,182,68,308,280,Players.asp?Tourn=WGP2013&Team=POL&No=132059,0
275,Krystyna Strasz,24/07/1987,165,55,0,252,Players.asp?Tourn=WGP2013&Team=POL&No=132063,0
276,Kinga Kasprzak,12/06/1987,188,76,310,295,Players.asp?Tourn=WGP2013&Team=POL&No=132064,0
277,Milena Radecka,18/10/1984,177,65,302,295,Players.asp?Tourn=WGP2013&Team=POL&No=119136,0
278,Paulina Maj-Erwardt,22/03/1987,166,58,277,255,Players.asp?Tourn=WGP2013&Team=POL&No=118379,0
279,Joanna Wolosz,07/04/1990,181,71,303,281,Players.asp?Tourn=WGP2013&Team=POL&No=118591,0
280,Agnieszka Kakolewska,17/10/1994,197,75,309,295,Players.asp?Tourn=WGP2013&Team=POL&No=136317,0
281,Elzbieta Nykiel,06/07/1983,183,69,305,280,Players.asp?Tourn=WGP2013&Team=POL&No=122956,0
282,Katarzyna Skowronska-Dolata,30/06/1983,189,75,314,296,Players.asp?Tourn=WGP2013&Team=POL&No=112551,0
283,Katarzyna Konieczna,22/03/1985,184,75,304,288,Players.asp?Tourn=WGP2013&Team=POL&No=112694,0
284,Monika Ptak,14/05/1990,187,72,310,289,Players.asp?Tourn=WGP2013&Team=POL&No=118595,0
285,Dorota Medynska,25/04/1993,168,60,280,261,Players.asp?Tourn=WGP2013&Team=POL&No=135797,0
286,Aleksandra Sikorska,28/04/1993,185,67,306,286,Players.asp?Tourn=WGP2013&Team=POL&No=135795,0
287,Justyna Lukasik,27/01/1993,187,77,301,285,Players.asp?Tourn=WGP2013&Team=POL&No=135793,0
288,Anastasia Salina,30/12/1988,181,67,295,288,Players.asp?Tourn=WGP2013&Team=RUS&No=141838,0
289,Daria Isaeva,29/03/1990,186,75,310,304,Players.asp?Tourn=WGP2013&Team=RUS&No=139710,0
290,Irina Zaryazhko Koroleva,04/10/1991,196,78,305,290,Players.asp?Tourn=WGP2013&Team=RUS&No=119373,0
291,Alexandra Pasynkova,14/04/1987,190,75,313,305,Players.asp?Tourn=WGP2013&Team=RUS&No=114288,0
292,Anna Matienko,12/07/1981,182,68,298,292,Players.asp?Tourn=WGP2013&Team=RUS&No=136455,0
293,Svetlana Kryuchkova,21/02/1985,174,63,290,286,Players.asp?Tourn=WGP2013&Team=RUS&No=118013,0
294,Nataliya Goncharova,01/06/1989,194,75,315,306,Players.asp?Tourn=WGP2013&Team=RUS&No=132071,0
295,Kseniia Bondar,01/02/1990,190,73,305,300,Players.asp?Tourn=WGP2013&Team=RUS&No=139709,0
296,Ekaterina Kosianenko,02/02/1990,178,64,290,285,Players.asp?Tourn=WGP2013&Team=RUS&No=116885,0
297,Victoriia Chaplina,23/10/1988,188,77,301,295,Players.asp?Tourn=WGP2013&Team=RUS&No=138953,0
298,Ekaterina Orlova,21/10/1987,193,77,307,301,Players.asp?Tourn=WGP2013&Team=RUS&No=115154,0
299,Evgeniya Startseva,12/02/1989,185,68,294,290,Players.asp?Tourn=WGP2013&Team=RUS&No=119097,0
300,Natalia Dianskaia,07/03/1989,185,69,297,292,Players.asp?Tourn=WGP2013&Team=RUS&No=141840,0
301,Tatyana Kosheleva,23/12/1988,191,67,315,305,Players.asp?Tourn=WGP2013&Team=RUS&No=119677,0
302,Regina Moroz,14/01/1987,188,70,310,303,Players.asp?Tourn=WGP2013&Team=RUS&No=124281,0
303,Natalia Malykh,08/12/1993,187,65,308,297,Players.asp?Tourn=WGP2013&Team=RUS&No=136057,0
304,Alexandra Vinogradova,11/04/1988,175,72,295,287,Players.asp?Tourn=WGP2013&Team=RUS&No=116883,0
305,Anna Podkopaeva,16/04/1990,175,59,290,286,Players.asp?Tourn=WGP2013&Team=RUS&No=173153,0
306,Anastasia Shlyakhovaya,05/10/1990,192,69,313,307,Players.asp?Tourn=WGP2013&Team=RUS&No=141839,0
307,Valeriya Goncharova,03/01/1988,188,70,308,301,Players.asp?Tourn=WGP2013&Team=RUS&No=141841,0
308,Elena Novik,23/03/1994,180,66,295,290,Players.asp?Tourn=WGP2013&Team=RUS&No=136532,0
309,Jovana Brakocevic,05/03/1988,196,82,309,295,Players.asp?Tourn=WGP2013&Team=SRB&No=116208,0
310,Sanja Malagurski,08/06/1990,193,74,305,295,Players.asp?Tourn=WGP2013&Team=SRB&No=119522,0
311,Bojana Drca,29/03/1988,186,70,298,283,Players.asp?Tourn=WGP2013&Team=SRB&No=120326,0
312,Natasa Krsmanovic,19/06/1985,188,73,305,285,Players.asp?Tourn=WGP2013&Team=SRB&No=116211,0
313,Tijana Malesevic,18/03/1991,184,73,289,288,Players.asp?Tourn=WGP2013&Team=SRB&No=119533,0
314,Brizitka Molnar,28/07/1985,182,69,304,290,Players.asp?Tourn=WGP2013&Team=SRB&No=116225,0
315,Olga Raonic,31/12/1986,184,70,294,280,Players.asp?Tourn=WGP2013&Team=SRB&No=134762,0
316,Brankica Mihajlovic,13/04/1991,190,83,302,290,Players.asp?Tourn=WGP2013&Team=SRB&No=121593,0
317,Maja Ognjenovic,06/08/1984,183,67,300,293,Players.asp?Tourn=WGP2013&Team=SRB&No=116216,0
318,Stefana Veljkovic,09/01/1990,190,76,325,310,Players.asp?Tourn=WGP2013&Team=SRB&No=119521,0
319,Jelena Nikolic,13/04/1982,194,79,315,300,Players.asp?Tourn=WGP2013&Team=SRB&No=116221,0
320,Ana Bjelica,03/04/1992,190,78,310,305,Players.asp?Tourn=WGP2013&Team=SRB&No=123694,0
321,Nadja Ninkovic,01/11/1991,193,77,307,298,Players.asp?Tourn=WGP2013&Team=SRB&No=119532,0
322,Jovana Stevanovic,30/06/1992,192,72,308,295,Players.asp?Tourn=WGP2013&Team=SRB&No=123700,0
323,Milena Rasic,25/10/1990,193,72,315,310,Players.asp?Tourn=WGP2013&Team=SRB&No=119535,0
324,Silvija Popovic,15/03/1986,178,65,286,276,Players.asp?Tourn=WGP2013&Team=SRB&No=116298,0
325,Suzana Cebic,09/11/1984,167,60,279,255,Players.asp?Tourn=WGP2013&Team=SRB&No=116224,0
326,Jasna Majstorovic,23/04/1984,181,64,300,293,Players.asp?Tourn=WGP2013&Team=SRB&No=120160,0
327,Sladjana Mirkovic,07/10/1995,185,78,293,283,Players.asp?Tourn=WGP2013&Team=SRB&No=136812,0
328,Bianka Busa,25/07/1994,187,74,312,298,Players.asp?Tourn=WGP2013&Team=SRB&No=136024,0
329,Tijana Boškovic,08/03/1997,193,82,315,300,Players.asp?Tourn=WGP2013&Team=SRB&No=137941,0
330,Piyanut Pannoy,10/11/1989,171,62,280,275,Players.asp?Tourn=WGP2013&Team=THA&No=131866,0
331,Em-Orn Phanusit,25/03/1988,177,70,302,291,Players.asp?Tourn=WGP2013&Team=THA&No=143000,0
332,Thatdao Nuekjang,03/02/1994,184,72,308,296,Players.asp?Tourn=WGP2013&Team=THA&No=142172,0
333,Pleumjit Thinkaow,09/11/1983,180,67,303,283,Players.asp?Tourn=WGP2013&Team=THA&No=113352,0
334,Onuma Sittirak,13/06/1986,175,72,304,285,Players.asp?Tourn=WGP2013&Team=THA&No=114638,0
335,Kamonporn Sukmak,29/02/1988,174,63,285,275,Players.asp?Tourn=WGP2013&Team=THA&No=143015,0
336,Utaiwan Kaensing,09/07/1988,189,86,310,295,Players.asp?Tourn=WGP2013&Team=THA&No=143003,0
337,Wanitchaya Luangtonglang,08/10/1992,177,60,300,275,Players.asp?Tourn=WGP2013&Team=THA&No=143001,0
338,Wilavan Apinyapong,06/06/1984,174,70,294,282,Players.asp?Tourn=WGP2013&Team=THA&No=113916,0
339,Amporn Hyapha,19/05/1985,180,70,301,290,Players.asp?Tourn=WGP2013&Team=THA&No=113358,0
340,Tapaphaipun Chaisri,29/11/1989,168,70,295,276,Players.asp?Tourn=WGP2013&Team=THA&No=118998,0
341,Nootsara Tomkom,07/07/1985,169,57,289,278,Players.asp?Tourn=WGP2013&Team=THA&No=113917,0
342,Jarasporn Bundasak,01/03/1993,181,65,291,283,Players.asp?Tourn=WGP2013&Team=THA&No=143002,0
343,Malika Kanthong,08/01/1987,178,65,292,278,Players.asp?Tourn=WGP2013&Team=THA&No=114283,0
344,Pornpun Guedpard,05/05/1993,170,63,288,279,Players.asp?Tourn=WGP2013&Team=THA&No=123019,0
345,Kaewkalaya Kamulthala,07/08/1994,178,66,298,281,Players.asp?Tourn=WGP2013&Team=THA&No=142185,0
346,Ajcharaporn Kongyot,18/06/1995,178,65,298,287,Players.asp?Tourn=WGP2013&Team=THA&No=133511,0
347,Sontaya Keawbundit,09/02/1991,177,68,290,280,Players.asp?Tourn=WGP2013&Team=THA&No=124062,0
348,Kuttika Kaewpin,16/08/1994,168,56,285,268,Players.asp?Tourn=WGP2013&Team=THA&No=142174,0
349,Parinya Pankaew,27/12/1995,170,59,281,269,Players.asp?Tourn=WGP2013&Team=THA&No=142184,0
350,Sineenat Phocharoen,19/05/1995,173,53,287,270,Players.asp?Tourn=WGP2013&Team=THA&No=142182,0
351,Gülden Kayalar Kuzubasioglu,05/12/1980,167,57,281,275,Players.asp?Tourn=WGP2013&Team=TUR&No=138771,0
352,Gizem Karadayi,14/01/1987,178,60,290,285,Players.asp?Tourn=WGP2013&Team=TUR&No=143384,0
353,Birgül Guler,02/05/1990,178,68,305,290,Players.asp?Tourn=WGP2013&Team=TUR&No=143382,0
354,Ergul Avci,24/07/1987,190,75,300,285,Players.asp?Tourn=WGP2013&Team=TUR&No=115398,0
355,Polen Uslupehlivan,27/08/1990,193,65,320,310,Players.asp?Tourn=WGP2013&Team=TUR&No=138777,0
356,Seda Tokatlioglu,25/06/1986,192,80,312,304,Players.asp?Tourn=WGP2013&Team=TUR&No=115394,0
357,Bahar Toksoy,06/02/1988,190,68,315,305,Players.asp?Tourn=WGP2013&Team=TUR&No=138783,0
358,Özge Kirdar Çemberci,26/06/1985,183,68,310,300,Players.asp?Tourn=WGP2013&Team=TUR&No=124522,0
359,Gözde Sonsirma,26/06/1985,183,70,297,292,Players.asp?Tourn=WGP2013&Team=TUR&No=143385,0
360,Naz Aydemir,14/08/1990,186,68,304,300,Players.asp?Tourn=WGP2013&Team=TUR&No=115403,0
361,Esra Gumus Kirici,02/10/1982,181,76,305,297,Players.asp?Tourn=WGP2013&Team=TUR&No=143383,0
362,Neriman Ozsoy,13/07/1988,188,76,312,300,Players.asp?Tourn=WGP2013&Team=TUR&No=138775,0
363,Gözde Yilmaz,09/09/1991,194,79,316,306,Players.asp?Tourn=WGP2013&Team=TUR&No=119686,0
364,Ezgi Arslan,23/03/1992,181,59,280,275,Players.asp?Tourn=WGP2013&Team=TUR&No=123800,0
365,Büsra Kiliçli,16/07/1990,188,84,297,291,Players.asp?Tourn=WGP2013&Team=TUR&No=119685,0
366,Neslihan Darnel,09/12/1983,187,72,315,306,Players.asp?Tourn=WGP2013&Team=TUR&No=138781,0
367,Asuman Karakoyun,16/07/1990,180,72,293,289,Players.asp?Tourn=WGP2013&Team=TUR&No=119697,0
368,Ayse Melis Gürkaynak,20/04/1990,183,68,300,280,Players.asp?Tourn=WGP2013&Team=TUR&No=119693,0
369,Kubra Caliskan,13/10/1994,198,86,310,310,Players.asp?Tourn=WGP2013&Team=TUR&No=137086,0
370,Asli Kalac,13/12/1995,185,73,306,297,Players.asp?Tourn=WGP2013&Team=TUR&No=137087,0
371,Dilara Bagci,02/02/1994,165,62,270,260,Players.asp?Tourn=WGP2013&Team=TUR&No=137093,0
372,Anna Grejman,08/06/1993,183,67,302,283,Players.asp?Tourn=WGP2013&Team=POL&No=135787,0
373,Maja Tokarska,22/02/1991,194,79,317,293,Players.asp?Tourn=WGP2013&Team=POL&No=123927,0
374,Karolina Rozycka,28/06/1985,183,68,305,284,Players.asp?Tourn=WGP2013&Team=POL&No=132060,0
375,Izabela Belcik,29/11/1980,185,65,304,292,Players.asp?Tourn=WGP2013&Team=POL&No=113513,0
376,Patrycja Polak,23/02/1991,183,62,301,279,Players.asp?Tourn=WGP2013&Team=POL&No=123926,0
377,Aleksandra Wojcik,03/01/1994,184,76,297,279,Players.asp?Tourn=WGP2013&Team=POL&No=136313,0
378,Joanna Kaczor,16/09/1984,191,64,305,290,Players.asp?Tourn=WGP2013&Team=POL&No=112557,0
379,Zuzanna Efimienko-Mlotkowska,08/08/1989,197,72,318,303,Players.asp?Tourn=WGP2013&Team=POL&No=119138,0
380,Ewelina Brzezinska,26/01/1988,182,68,308,280,Players.asp?Tourn=WGP2013&Team=POL&No=132059,0
381,Krystyna Strasz,24/07/1987,165,55,0,252,Players.asp?Tourn=WGP2013&Team=POL&No=132063,0
382,Kinga Kasprzak,12/06/1987,188,76,310,295,Players.asp?Tourn=WGP2013&Team=POL&No=132064,0
383,Milena Radecka,18/10/1984,177,65,302,295,Players.asp?Tourn=WGP2013&Team=POL&No=119136,0
384,Paulina Maj-Erwardt,22/03/1987,166,58,277,255,Players.asp?Tourn=WGP2013&Team=POL&No=118379,0
385,Joanna Wolosz,07/04/1990,181,71,303,281,Players.asp?Tourn=WGP2013&Team=POL&No=118591,0
386,Agnieszka Kakolewska,17/10/1994,197,75,309,295,Players.asp?Tourn=WGP2013&Team=POL&No=136317,0
387,Elzbieta Nykiel,06/07/1983,183,69,305,280,Players.asp?Tourn=WGP2013&Team=POL&No=122956,0
388,Katarzyna Skowronska-Dolata,30/06/1983,189,75,314,296,Players.asp?Tourn=WGP2013&Team=POL&No=112551,0
389,Katarzyna Konieczna,22/03/1985,184,75,304,288,Players.asp?Tourn=WGP2013&Team=POL&No=112694,0
390,Monika Ptak,14/05/1990,187,72,310,289,Players.asp?Tourn=WGP2013&Team=POL&No=118595,0
391,Dorota Medynska,25/04/1993,168,60,280,261,Players.asp?Tourn=WGP2013&Team=POL&No=135797,0
392,Aleksandra Sikorska,28/04/1993,185,67,306,286,Players.asp?Tourn=WGP2013&Team=POL&No=135795,0
393,Justyna Lukasik,27/01/1993,187,77,301,285,Players.asp?Tourn=WGP2013&Team=POL&No=135793,0
